<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,20060719,000000,220.3200000,220.3200000,203.0300000,203.9500000,517741
ROSN,D,20060720,000000,204.0000000,205.1000000,203.1500000,203.2600000,1141022
ROSN,D,20060721,000000,204.3000000,204.6000000,200.0000000,202.0000000,1864106
ROSN,D,20060724,000000,202.0000000,203.2000000,199.2500000,201.9900000,793842
ROSN,D,20060725,000000,203.0000000,203.7500000,201.2700000,202.6900000,1674834
ROSN,D,20060726,000000,203.0000000,203.2500000,202.0100000,203.1000000,1009200
ROSN,D,20060727,000000,203.4500000,203.7500000,202.5000000,203.5000000,2198735
ROSN,D,20060728,000000,203.0100000,203.5000000,202.6000000,202.8000000,523210
ROSN,D,20060731,000000,204.0000000,204.0000000,202.5500000,202.6000000,174152
ROSN,D,20060801,000000,202.5000000,203.0000000,202.1100000,202.7500000,384126
ROSN,D,20060802,000000,203.0000000,203.0000000,201.5000000,201.9900000,175971
ROSN,D,20060803,000000,202.0000000,202.4000000,200.1000000,200.7500000,1889088
ROSN,D,20060804,000000,200.7500000,201.5000000,200.5000000,200.9900000,1376511
ROSN,D,20060807,000000,200.9000000,201.5000000,199.7000000,200.3000000,1180921
ROSN,D,20060808,000000,200.8000000,200.9900000,195.9000000,196.8500000,1975449
ROSN,D,20060809,000000,196.9100000,198.5000000,196.0000000,198.2400000,983044
ROSN,D,20060810,000000,197.5000000,200.0000000,195.9600000,200.0000000,1822600
ROSN,D,20060811,000000,200.0000000,202.3000000,199.1200000,201.2200000,1375009
ROSN,D,20060814,000000,200.2000000,202.0000000,197.7700000,198.0000000,1433927
ROSN,D,20060815,000000,198.0200000,199.7000000,197.0000000,199.5100000,1095568
ROSN,D,20060816,000000,198.5000000,201.9000000,198.1200000,201.0000000,1003847
ROSN,D,20060817,000000,200.3100000,201.3400000,199.3000000,199.8900000,555110
ROSN,D,20060818,000000,199.9000000,199.9000000,198.5000000,199.4000000,1133805
ROSN,D,20060821,000000,199.8700000,199.8700000,197.9800000,198.0000000,540212
ROSN,D,20060822,000000,198.1900000,199.9000000,198.0000000,199.9000000,853842
ROSN,D,20060823,000000,199.3100000,199.9000000,198.8500000,199.7500000,294694
ROSN,D,20060824,000000,199.0000000,200.0000000,198.3000000,200.0000000,779839
ROSN,D,20060825,000000,199.0100000,202.8700000,199.0100000,202.2900000,876867
ROSN,D,20060828,000000,201.8000000,202.0000000,201.3000000,201.3000000,531312
ROSN,D,20060829,000000,200.8000000,202.2000000,200.8000000,200.8000000,967290
ROSN,D,20060830,000000,200.8000000,201.3900000,199.0000000,199.5000000,526325
ROSN,D,20060831,000000,199.8000000,201.6900000,197.5000000,197.7000000,876038
ROSN,D,20060901,000000,198.0100000,200.4000000,197.3000000,200.3000000,504754
ROSN,D,20060904,000000,200.9500000,202.0000000,199.0000000,199.5100000,105974
ROSN,D,20060905,000000,199.8000000,201.9000000,198.8000000,201.9000000,839769
ROSN,D,20060906,000000,201.3000000,201.9000000,200.3300000,201.0000000,502086
ROSN,D,20060907,000000,200.3000000,201.0000000,199.8000000,200.7000000,1245696
ROSN,D,20060908,000000,200.3000000,202.4000000,200.3000000,201.3500000,675568
