<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20110629,000000,426.0000000,432.8300000,423.0100000,423.0100000,24910
MTLRP,D,20110630,000000,420.0300000,424.0000000,417.0000000,424.0000000,10090
MTLRP,D,20110701,000000,425.0000000,446.0000000,421.0000000,439.0100000,206370
MTLRP,D,20110704,000000,442.9900000,443.0000000,435.4400000,441.0000000,8220
MTLRP,D,20110705,000000,443.0000000,459.9900000,435.4100000,441.0000000,63220
MTLRP,D,20110706,000000,438.0000000,439.9900000,435.0100000,435.1000000,18880
MTLRP,D,20110707,000000,439.9900000,442.5000000,435.0000000,438.9900000,53160
MTLRP,D,20110708,000000,436.1000000,446.9000000,435.5100000,446.9000000,11280
MTLRP,D,20110711,000000,446.0000000,448.0000000,436.5800000,440.7500000,66600
MTLRP,D,20110712,000000,444.7800000,444.8000000,436.3100000,444.0000000,9310
MTLRP,D,20110713,000000,447.0000000,447.0000000,437.0000000,439.0000000,11610
MTLRP,D,20110714,000000,437.5000000,443.0000000,437.5000000,440.0000000,19910
MTLRP,D,20110715,000000,438.0300000,443.8800000,438.0300000,442.8900000,490
MTLRP,D,20110718,000000,439.0800000,442.4900000,439.0000000,440.0900000,90
MTLRP,D,20110719,000000,442.7900000,445.0000000,440.0000000,440.0000000,29850
MTLRP,D,20110720,000000,442.4800000,442.4900000,438.9900000,439.0000000,16310
MTLRP,D,20110721,000000,440.0000000,441.0000000,437.0000000,440.4800000,29020
MTLRP,D,20110722,000000,442.9900000,443.0000000,440.0000000,442.0000000,5250
MTLRP,D,20110725,000000,439.0100000,441.0000000,439.0000000,439.0100000,11010
MTLRP,D,20110726,000000,436.9500000,440.0100000,436.9500000,440.0000000,7990
MTLRP,D,20110727,000000,439.0000000,443.9000000,435.0000000,440.0000000,8450
MTLRP,D,20110728,000000,435.5100000,440.0000000,435.0000000,438.0000000,2940
MTLRP,D,20110729,000000,440.9900000,440.9900000,435.0000000,440.8900000,220
MTLRP,D,20110801,000000,444.0000000,445.5000000,442.0000000,445.0000000,15810
MTLRP,D,20110802,000000,446.0000000,454.0000000,446.0000000,448.0000000,60990
MTLRP,D,20110803,000000,444.0100000,455.0000000,437.0000000,437.0000000,31350
MTLRP,D,20110804,000000,442.0000000,442.0000000,426.0000000,426.5000000,51260
