<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20000411,000000,1475.0000000,1540.0000000,1460.0000000,1475.0000000,39763
SBER,D,20000412,000000,1498.0000000,1573.0000000,1485.0000000,1522.1000000,62177
SBER,D,20000413,000000,1500.0000000,1539.0000000,1475.0000000,1513.0500000,42287
SBER,D,20000414,000000,1498.0000000,1554.9000000,1495.0000000,1501.5000000,40587
SBER,D,20000417,000000,1426.0000000,1435.0000000,1350.0000000,1380.0000000,47214
SBER,D,20000418,000000,1420.0000000,1437.0000000,1351.0000000,1385.0200000,30343
SBER,D,20000419,000000,1425.0000000,1448.0000000,1376.0000000,1380.0000000,24355
SBER,D,20000420,000000,1371.0000000,1414.9900000,1371.0000000,1410.0000000,22197
SBER,D,20000421,000000,1410.0000000,1440.0000000,1405.0000000,1440.0000000,28707
SBER,D,20000424,000000,1435.0000000,1435.0000000,1393.2000000,1401.0000000,16218
SBER,D,20000425,000000,1410.0000000,1437.9900000,1410.0000000,1423.0000000,10113
SBER,D,20000426,000000,1445.0000000,1493.9500000,1435.0000000,1479.9800000,34672
SBER,D,20000427,000000,1455.0000000,1508.0000000,1410.0000000,1433.0000000,29455
SBER,D,20000428,000000,1485.0000000,1497.0000000,1462.5000000,1486.5000000,23180
SBER,D,20000503,000000,1471.5500000,1501.0000000,1465.0100000,1467.0200000,9905
SBER,D,20000504,000000,1460.0000000,1469.9900000,1450.0000000,1459.8900000,11852
SBER,D,20000505,000000,1465.0000000,1471.0000000,1440.0000000,1450.0000000,7385
SBER,D,20000506,000000,1470.0000000,1474.9800000,1459.0000000,1467.0000000,6761
SBER,D,20000510,000000,1485.0000000,1490.0000000,1444.9900000,1455.0000000,15633
SBER,D,20000511,000000,1429.0000000,1454.9900000,1426.0000000,1440.0000000,12503
SBER,D,20000512,000000,1450.0000000,1453.0000000,1403.0000000,1404.0000000,10240
SBER,D,20000515,000000,1399.0000000,1414.0000000,1357.0100000,1387.9800000,10434
SBER,D,20000516,000000,1389.0000000,1410.0000000,1373.0000000,1410.0000000,3150
SBER,D,20000517,000000,1404.0000000,1404.0000000,1275.0000000,1275.7000000,18982
SBER,D,20000518,000000,1274.0000000,1290.0000000,1205.0000000,1265.0000000,23984
SBER,D,20000519,000000,1310.0000000,1310.0000000,1180.0000000,1195.9000000,16629
SBER,D,20000522,000000,1150.0000000,1169.8900000,1100.0000000,1125.0000000,11369
SBER,D,20000523,000000,1100.0000000,1141.0000000,982.0100000,1025.0000000,23314
SBER,D,20000524,000000,960.0000000,994.0000000,860.0000000,976.0000000,30253
SBER,D,20000525,000000,1000.0000000,1039.9500000,985.0000000,1018.0000000,25049
SBER,D,20000526,000000,990.0000000,1088.0000000,983.0000000,1065.0000000,20786
SBER,D,20000529,000000,1079.4000000,1124.9900000,1055.0000000,1061.0000000,18187
SBER,D,20000530,000000,1079.9900000,1117.9000000,1060.0000000,1107.0000000,9638
SBER,D,20000531,000000,1135.0000000,1140.0000000,1101.0100000,1130.0000000,9739
